league,season,schedule,player_game,team_game,player_season,team_season,pbp,shots
ACB,2024,Err,Err,Err,5,18,N/A,N/A
ACB,2023,Err,Err,Err,5,18,N/A,N/A
ACB,2022,Err,Err,Err,5,18,N/A,N/A
ACB,2021,Err,Err,Err,5,18,N/A,N/A
ACB,2020,Err,Err,Err,5,18,N/A,N/A
ACB,2019,Err,Err,Err,5,18,N/A,N/A
NZ-NBL,2024,0,0,0,0,0,0,0
NZ-NBL,2023,0,0,0,0,0,0,0
NZ-NBL,2022,0,0,0,0,0,0,0
NZ-NBL,2021,0,0,0,0,0,0,0
LNB,2024-2025,Err,Err,Err,0,0,Err,Err
LNB,2023-2024,Err,Err,Err,0,0,Err,Err
LNB,2022-2023,Err,Err,Err,0,0,Err,Err
LNB,2021-2022,Err,Err,Err,0,0,Err,Err
