League,Classification,Source,HealthStatus,Earliest,Latest,schedule,player_game,team_game,pbp,player_season,team_season,shots
ABA,Pre-NBA/WNBA,fiba_html,PARTIAL,2023-24,2023-24,OK,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
ACB,Pre-NBA/WNBA,html,PARTIAL,Unknown,Unknown,---,---,---,---,OK,OK,---
BAL,Pre-NBA/WNBA,fiba_html,PARTIAL,2023-24,2023-24,OK,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
BCL,Pre-NBA/WNBA,fiba_html,PARTIAL,2023-24,2023-24,OK,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
CCAA,Pre-NBA/WNBA,prestosports,BROKEN,Unknown,Unknown,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
CEBL,Top-Level,ceblpy,BROKEN,2019,2024,---,---,---,---,---,---,---
EuroCup,Other,euroleague_api,BROKEN,Unknown,Unknown,---,---,---,---,---,---,---
EuroLeague,Other,euroleague_api,BROKEN,Unknown,Unknown,---,---,---,---,---,---,---
G-League,Pre-NBA/WNBA,nba_stats,PARTIAL,2001-02,2024-25,OK,---,---,---,---,---,---
LKL,Pre-NBA/WNBA,fiba_html,PARTIAL,2023-24,2023-24,OK,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
LNB_PROA,Pre-NBA/WNBA,html,PARTIAL,Unknown,Unknown,---,---,---,---,EMPTY,OK,---
NAIA,Pre-NBA/WNBA,prestosports,BROKEN,2020-21,2024-25,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
NBL,Pre-NBA/WNBA,nbl_official_r,PARTIAL,1979,2025-26,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,OK
NCAA-MBB,Pre-NBA/WNBA,espn,BROKEN,2002-03,2024-25,ERROR,---,---,---,---,---,---
NCAA-WBB,Pre-NBA/WNBA,espn,BROKEN,2002-03,2024-25,ERROR,---,---,---,---,---,---
NJCAA,Pre-NBA/WNBA,prestosports,BROKEN,2020-21,2024-25,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
NZ-NBL,Pre-NBA/WNBA,nz_nbl_fiba,BROKEN,Unknown,Unknown,---,---,---,---,---,---,---
OTE,Pre-NBA/WNBA,html,BROKEN,2021-22,2024-25,---,---,---,---,---,---,---
USPORTS,Pre-NBA/WNBA,prestosports,BROKEN,Unknown,Unknown,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,---
WNBA,Top-Level,nba_stats,BROKEN,1997,2024,---,---,---,---,---,---,---
