Season,Games_in_Calendar,Games_with_UUID,Fixtures_Fetched,Fixture_Coverage_%,Games_with_PBP,PBP_Coverage_%,Avg_PBP_Events,Games_with_Shots,Shot_Coverage_%,Avg_Shots,Validation_Pass_Rate_%,Avg_Total_Score
2024-2025,8,8,8,100.0,6,75.0,512,6,75.0,150,62.5,147.5
2023-2024,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2022-2023,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2021-2022,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2020-2021,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2019-2020,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2018-2019,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2017-2018,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2016-2017,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2015-2016,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
2014-2015,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
